event_name,city,state,county,distance_mi,trip_type,month,typical_dates,attendance,food_vendor_fee,application_method,contact,url,status,notes,last_verified
Fort Madison Tri-State Rodeo,Fort Madison,IA,Lee,240,overnight,September,Sep 9-12 (2026),,Not researched,,,,Verified - vending unconfirmed,"78th Tri-State Rodeo, Fort Madison: PRCA rodeo, food trucks & vendors. SE Iowa fill.",2026-06-18
Burlington Steamboat Days,Burlington,IA,Des Moines,230,overnight,June,Mid-June 2026 (riverfront),,Not researched,,,,Verified - vending unconfirmed,"Burlington's biggest community event: riverfront music festival, carnival, food. SE Iowa fill.",2026-06-18
Centerville Pancake Day,Centerville,IA,Appanoose,130,day_trip,September,Sep 26 (2026),,Not researched,,,,Verified - vending unconfirmed,"77th Pancake Day on the 'World's Largest Town Square', Centerville: parade, vendors, food. S. Iowa fill.",2026-06-18
Southern Iowa Fair,Oskaloosa,IA,Mahaska,180,overnight,July,Jul 13-18 (2026),,Not researched,,,,Verified - vending unconfirmed,"Mahaska County fair, Oskaloosa: 4-H, tractor pull, racing, carnival, vendors, fair food. S. Iowa fill.",2026-06-18
Wapello County Fair,Ottumwa,IA,Wapello,150,day_trip,June,Jun 17-21 (2026),,Not researched,,,,Verified - vending unconfirmed,"County fair (grounds in Eldon), Ottumwa area: carnival, harness/stock-car races, livestock, food. S. Iowa fill.",2026-06-18
Muskogee Azalea Festival,Muskogee,OK,Muskogee,390,overnight,April,"Throughout April (parade Apr 4), 2026",,Not researched,,,,Verified - vending unconfirmed,"Month-long spring festival at Honor Heights Park, Muskogee: azaleas, parade, vendors, food. NE Oklahoma fill.",2026-06-18
Cherokee National Holiday,Tahlequah,OK,Cherokee,370,overnight,September,Sep 4-6 (2026),,Not researched,,,,Verified - vending unconfirmed,"Cherokee Nation's 3-day Labor Day celebration, Tahlequah: parade, games, Artisan Marketplace with food & art vendors. NE Oklahoma fill.",2026-06-18
Grove Pelican Festival,Grove,OK,Delaware,310,overnight,October,Oct 1-4 (2026),,Not researched,,,,Verified - vending unconfirmed,"40th Pelican Festival at Wolf Creek Park on Grand Lake, Grove: carnival, food trucks, arts/crafts, car show. NE Oklahoma fill.",2026-06-18
Okmulgee Pecan Festival,Okmulgee,OK,Okmulgee,400,overnight,October,Oct 10-11 (2026),,Not researched,,,,Verified - vending unconfirmed,"Okmulgee Pecan Festival: pecan baking contest, street dance, live music, local vendors & food (Chamber vendor app). NE Oklahoma fill.",2026-06-18
Rogers County Fair,Claremore,OK,Rogers,330,overnight,August,August 2026 (TBD),,Not researched,,,,Verified - vending unconfirmed,"111th Rogers County Free Fair, Claremore Expo Center: carnival, food trucks, fair food, nightly entertainment. NE Oklahoma fill.",2026-06-18
Arkansas Bean Fest & Championship Outhouse Races,Mountain View,AR,Stone,300,overnight,October,Oct 23-24 (2026),,Not researched,,,,Verified - vending unconfirmed,"Quirky court-square festival, Mountain View: bean cook-off, outhouse races, craft & food vendors (Eventeny app). N. Arkansas fill.",2026-06-18
NEA District Fair,Jonesboro,AR,Craighead,280,overnight,September,"Mid-September 2026 (9 days, TBD)",,Not researched,,,,Verified - vending unconfirmed,"Northeast Arkansas District Fair, Jonesboro: 9 days of carnival, food, games, entertainment. NE Arkansas fill.",2026-06-18
Loose Caboose Festival,Paragould,AR,Greene,270,overnight,May,May 14-16 (2026),,Not researched,,,,Verified - vending unconfirmed,"Downtown Paragould festival (26th): vendor market + food court, music (food vendor app w/ electric/water add-ons). NE Arkansas fill.",2026-06-18
Crawdad Days Festival,Harrison,AR,Boone,250,overnight,May,Mid-May 2026 (May 7-9),,Not researched,,,,Verified - vending unconfirmed,"Crawdad Days at the NW Arkansas District Fairgrounds, Harrison: craft & food vendors, carnival, music, petting zoo. N. Arkansas fill.",2026-06-18
Baxter County Fair,Mountain Home,AR,Baxter,250,overnight,September,Sep 15-19 (2026),,Not researched,,,,Verified - vending unconfirmed,"Baxter County Fair, Mountain Home: carnival, livestock, commercial booths, food. N. Arkansas fill.",2026-06-18
Independence County Fair,Batesville,AR,Independence,290,overnight,June,Jun 5-13 (2026),,Not researched,,,,Verified - vending unconfirmed,"105th Independence County Fair, Batesville: discount-ride nights, fair food, family fun. N. Arkansas fill.",2026-06-18
BBQ on the River,Paducah,KY,McCracken,230,overnight,September,Sep 17-19 (2026),,Not researched,,,,Verified - vending unconfirmed,Paducah's riverfront BBQ festival (now run by Paducah Main Street): 100+ BBQ/food/dessert vendors. West KY fill.,2026-06-18
Tater Day,Benton,KY,Marshall,245,overnight,April,Apr 3-6 (2026),,Not researched,,,,Verified - vending unconfirmed,"Oldest continuous trade day in the US, Benton court square: vendor market, carnival, mule pulls, parade. West KY fill.",2026-06-18
Murray Freedom Fest,Murray,KY,Calloway,250,overnight,July,Jul 3-4 (2026),,Not researched,,,,Verified - vending unconfirmed,"Murray's July 4th celebration: street fair w/ food, crafts, beer garden, free concert, FNB parade. West KY fill.",2026-06-18
Black Patch Festival,Princeton,KY,Caldwell,260,overnight,September,Sep 12 (2026),,Not researched,,,,Verified - vending unconfirmed,"Black Patch Heritage Festival, Princeton Main St: games, food, crafts, live music. West KY fill.",2026-06-18
Madisonville 4th Fest,Madisonville,KY,Hopkins,270,overnight,July,Jul 3-5 (2026),,Not researched,,,,Verified - vending unconfirmed,"Region's largest 3-day outdoor music fest (~40k), free: food trucks, vendors, beer garden. West KY fill.",2026-06-18
Hopkins County Fair,Madisonville,KY,Hopkins,270,overnight,July,Jul 31 - Aug 8 (2026),,Not researched,,,,Verified - vending unconfirmed,"Hopkins County Fair, Madisonville: livestock, carnival, fair food (taking food-vendor applications). West KY fill.",2026-06-18
Mitchell Persimmon Festival,Mitchell,IN,Lawrence,340,overnight,September,Sep 19-26 (2026),,Not researched,,,,Verified - vending unconfirmed,"79th Persimmon Festival, downtown Mitchell + Spring Mill State Park: carnival, food stalls, persimmon pudding contest, music. S. Indiana fill.",2026-06-18
Jasper Strassenfest,Jasper,IN,Dubois,300,overnight,July,Jul 30 - Aug 2 (2026),,Not researched,,,,Verified - vending unconfirmed,"German heritage festival, downtown Jasper: 3 stages, polka, authentic German food, carnival, hot-air balloons. S. Indiana fill.",2026-06-18
Knox County Watermelon Festival,Vincennes,IN,Knox,270,overnight,August,Aug 7-8 (2026),,Not researched,,,,Verified - vending unconfirmed,"Downtown Vincennes (Patrick Henry Square): fair food, vendors, entertainment (vendor apps open). S. Indiana fill.",2026-06-18
4th Street Festival of the Arts & Crafts,Bloomington,IN,Monroe,330,overnight,September,Sep 5-6 (2026),,Not researched,,,,Verified - vending unconfirmed,"50th Fourth Street arts & crafts festival, Bloomington (Labor Day weekend): artists, food vendors. S. Indiana fill.",2026-06-18
Monroe County Fair,Bloomington,IN,Monroe,330,overnight,July,July 2026 (TBD),,Not researched,,,,Verified - vending unconfirmed,"Monroe County Fair, Bloomington: livestock, exhibits, carnival, fair food. S. Indiana fill.",2026-06-18
Lawrence County Fair,Bedford,IN,Lawrence,340,overnight,July,Jul 11-18 (2026),,Not researched,,,,Verified - vending unconfirmed,"Lawrence County 4-H Fair, Bedford: rodeo, demo derby, rides, food vendors. S. Indiana fill.",2026-06-18
AppleJack Festival,Nebraska City,NE,Otoe,250,overnight,September,Sep 18-20 & 26-27 (2026),,Not researched,,,,Verified - vending unconfirmed,"Iconic fall harvest festival at Arbor Day Farm, Nebraska City (~80k): apples, parades, carnival, food; craft/food vendor info. SE Nebraska fill.",2026-06-18
Homestead Days,Beatrice,NE,Gage,290,overnight,June,Mid-June 2026 (TBD; 2025 was Jun 19-22),,Not researched,,,,Verified - vending unconfirmed,"Community homesteading-heritage festival, Beatrice: parade, Ribfest, car shows, live entertainment. SE Nebraska fill.",2026-06-18
Gage County Fair,Beatrice,NE,Gage,290,overnight,July,Jul 22-26 (2026),,Not researched,,,,Verified - vending unconfirmed,"Gage County Fair, Beatrice: carnival, ag exhibits, food/products vendors (info@gagecountyfair.com / 402-223-3247). SE Nebraska fill.",2026-06-18
Otoe County Fair,Syracuse,NE,Otoe,270,overnight,July,Jul 31 - Aug 3 (2026),,Not researched,,,,Verified - vending unconfirmed,"Otoe County Fair, Syracuse: carnival, 4-H/open class, nightly entertainment, food stands. SE Nebraska fill.",2026-06-18
Nemaha County Fair,Auburn,NE,Nemaha,270,overnight,August,Aug 9-12 (2026),,Not researched,,,,Verified - vending unconfirmed,"Nemaha County Fair, Auburn: 4-H/FFA, grandstand, beer garden, fair food (commercial vendor info: 402-297-7091). SE Nebraska fill.",2026-06-18
Cobblestone Festival,Falls City,NE,Richardson,230,overnight,June,June 2026 (TBD),,Not researched,,,,Verified - vending unconfirmed,"Cobblestone Festival, Falls City: parade, carnival, street vendors, activities. SE Nebraska fill.",2026-06-18
Little Balkans Days,Pittsburg,KS,Crawford,200,overnight,September,"Labor Day weekend (Sep 4-7, 2026)",,Not researched,,,,Verified - vending unconfirmed,"Little Balkans heritage festival, Pittsburg (Labor Day wknd): arts/crafts/antiques, food, live music. SE Kansas fill.",2026-06-18
Neewollah,Independence,KS,Montgomery,240,overnight,October,Late October 2026 (9 days),,Not researched,,,,Verified - vending unconfirmed,"Kansas's largest annual festival, Independence: 9-day extravaganza, 30+ food vendors, carnival, parades, musical. SE Kansas fill.",2026-06-18
Inter-State Fair & Rodeo,Coffeyville,KS,Montgomery,230,overnight,August,Aug 9-15 (2026),,Not researched,,,,Verified - vending unconfirmed,"119th Inter-State Fair & Rodeo, Coffeyville: PRCA rodeo, carnival, concessions ($850 full food), livestock. SE Kansas fill.",2026-06-18
Fort Scott Good Ol' Days,Fort Scott,KS,Bourbon,170,overnight,June,Jun 5-6 (2026),,Not researched,,,,Verified - vending unconfirmed,"45th Good Ol' Days, downtown Fort Scott: craft vendors, food trucks, concerts, largest parade in Bourbon Co. SE Kansas fill.",2026-06-18
Allen County Fair,Iola,KS,Allen,200,overnight,August,August 2026 (TBD),,Not researched,,,,Verified - vending unconfirmed,"Allen County Fair, Iola: 4-H, full food court, carnival rides, concessions/vendors. SE Kansas fill.",2026-06-18
World's Biggest Fish Fry,Paris,TN,Henry,300,overnight,April,Apr 18-26 (2026),,Not researched,,,,Verified - vending unconfirmed,"World's Biggest Fish Fry, Paris (73rd, last full week of April): parade, carnival, all-you-can-eat catfish, music. West TN fill.",2026-06-18
West Tennessee Strawberry Festival,Humboldt,TN,Gibson,330,overnight,May,May 3-9 (2026),,Not researched,,,,Verified - vending unconfirmed,"88th West TN Strawberry Festival, Humboldt: week-long carnival, two parades, free concerts, food vendors, fireworks. West TN fill.",2026-06-18
Martin Grassroots Soybean Festival,Martin,TN,Weakley,300,overnight,September,Sep 10-12 (2026),,Not researched,,,,Verified - vending unconfirmed,"Grassroots Soybean Festival at Virginia Weldon Park, Martin (replaces the canceled TN Soybean Festival): booth + food-truck vendor apps. West TN fill.",2026-06-18
Jackson International Food and Art Festival,Jackson,TN,Madison,330,overnight,September,Sep 26 (2026),,Not researched,,,,Verified - vending unconfirmed,"Jackson International Food & Art Festival at the fairgrounds: food vendors, arts/crafts, cultural performances (free; vendor info at jifaf.com). West TN fill.",2026-06-18
Obion County Fair,Union City,TN,Obion,300,overnight,August,Aug 24-29 (2026),,Not researched,,,,Verified - vending unconfirmed,"Obion County Fair, Union City (est. 1931): midway, commercial exhibits, concerts, motorsports, fair food. West TN fill.",2026-06-18
Dyer County Fair,Dyersburg,TN,Dyer,310,overnight,September,Sep 7-12 (2026),,Not researched,,,,Verified - vending unconfirmed,"6-day Dyer County Fair, Dyersburg: ag exhibits, competitions, entertainment, fair food. West TN fill.",2026-06-18
Logboat Brewing Co.,Columbia,MO,Boone,0,hometown,,Year-round; rotating outside food trucks in the Shipyard beer garden,"Taproom + beer-garden crowd (nightly, frequent live music)",Not researched,No formal application - direct relationship / curated rotation,,logboatbrewing.com,Verified,"No in-house kitchen - food-truck friendly; hosts a curated rotation of outside trucks (Irene's BBQ, Ozark Mountain Biscuit, Beet Box, Pasta La Fata), so a new cart needs a direct relationship for a slot. Co-located with Rose Music Hall / Rose Park (same property).",2026-07-06
Bur Oak Brewing Company,Columbia,MO,Boone,0,hometown,,Year-round; food trucks on weekends,Taproom + food-truck crowd (weekends),"Not researched (venue rental separate: Rent-the-Brewery $250-$4,000)",Email events@buroakbeer.com (Event Request Form),events@buroakbeer.com,buroakbeer.com,Verified,No full kitchen (snacks only) - food-truck friendly; regularly hosts food trucks that supply the food. 8250 Trade Center Dr. Also offers paid Rent-the-Brewery bookings.,2026-07-06
Cooper's Landing,Columbia,MO,Boone,11,hometown,,"Riverside music venue, ~Apr-Oct; rotating outside food trucks (recurring, Fri-Sun)",Riverside live-music crowd (voted Best Live Music in COMO 2023-25),None stated,Band/Food Truck/Vendor form or email music@cooperslandingmo.com,music@cooperslandingmo.com / 573-657-1299,cooperslandingmo.com,Verified,"No restaurant/kitchen (General Store sells drinks + packaged snacks only; former Chim's Thai closed 2024) - food-truck friendly; CURATES/books trucks in advance (not walk-up). On the Missouri River / Katy Trail near Easley, southern Boone County.",2026-07-06
Rose Music Hall / Rose Park,Columbia,MO,Boone,0,hometown,,Outdoor concert season ~May-Oct (Rose Park); indoor year-round,"Outdoor concert crowds (Rose Park), up to ~1,500",Not researched,Contact venue (Logboat-adjacent),,rosemusichall.com,Verified - vending unconfirmed,"Outdoor amphitheater next to Logboat. Food-vendor policy for shows NOT established (ticketed shows may use an exclusive concessionaire). Notable 2026 outdoor shows: Rev. Peyton's Big Damn Band Jul 18, Larry Fleet Jul 30, Voodoo Fleetwood Mac Aug 15, Missouri Jazz Music Festival Sep 12 (free), Pixies Sep 23 (sold out), Modest Mouse Sep 24.",2026-07-06
Show-Me State Games,Columbia,MO,Boone,0,hometown,July,"2026 sessions: Jun 11-14, Jul 17-19, Jul 24-26","15,000-20,000 participants across 40+ sports",Not researched,Contact organizer (no dedicated vendor page found),Jessie Sida (Dir. Strategic Partnerships) / 573-884-2946,smsg.org,Verified - vending unconfirmed,Nation's largest state games; huge summer influx when MU is out (counter-seasonal). Food-vendor/concession process NOT established - direct outreach needed. HIGH-VALUE local target.,2026-07-06
Mizzou Football Home Games,Columbia,MO,Boone,0,hometown,September,"2026 home games: Sep 5, Sep 19, Oct 3 (Homecoming vs Florida), Oct 10, Nov 7, Nov 21, Nov 28","~62,000 per game at Faurot Field + tailgaters",Not researched,Requires campus/tailgate-lot permit (stadium has exclusive concessions),,mutigers.com,Verified - vending unconfirmed,Seven fall Saturdays draw ~62k each + a downtown Homecoming parade (Oct 3). Vending requires a tailgate lot or campus-adjacent private property + likely permit - NOT established. Massive but access-gated.,2026-07-06
First Fridays - North Village Arts District,Columbia,MO,Boone,0,hometown,,"First Friday of each month, ~6-9pm; monthly",Downtown art-crawl crowd (~20 venues),Not researched,Street vending - confirm permit with NVAD / City of Columbia,,northvillageartsdistrict.org/first-fridays,Verified - vending unconfirmed,Free monthly art crawl in the North Village Arts District downtown. Some participating venues have their own kitchens. Aligns with the Market at Serendipity (most First Fridays).,2026-07-06
The Market at Serendipity,Columbia,MO,Boone,0,hometown,,Most First Fridays (monthly); occasional special market days,First-Friday market crowd (North Village Arts District),Not researched,Prepared Food Vendor application,,serendipitycomo.com/farmersandartisansmarket,Verified,"Farmers/artisan market at 1020 E Walnut St (North Village Arts District). Accepts Prepared Food Vendors who personally prepare food with local ingredients where possible; bars resellers, so a standard wholesale hot-dog cart is a marginal thematic fit. No longer runs Sundays.",2026-07-06
Pixies at Rose Park,Columbia,MO,Boone,0,hometown,September,"Sep 23, 2026",Sold-out national concert (Rose Park outdoor),Not researched,Contact venue (Logboat / Rose Music Hall),,rosemusichall.com,Verified - vending unconfirmed,"One-time national touring act at Rose Park (outdoor), Sep 23 2026 - SOLD OUT, big crowd. Food-vendor access NOT established (ticketed show may have exclusive concessions). Verify before relying.",2026-07-06
Modest Mouse at Rose Park,Columbia,MO,Boone,0,hometown,September,"Sep 24, 2026","National concert (Rose Park outdoor, 'Central Bank Downtown Live!')",Not researched,Contact venue (Logboat / Rose Music Hall),,rosemusichall.com,Verified - vending unconfirmed,"One-time national touring act at Rose Park (outdoor), Sep 24 2026. Food-vendor access NOT established. Verify before relying.",2026-07-06
Broadway Brewery Taproom,Columbia,MO,Boone,0,hometown,,,,,N/A - runs own kitchen,,broadwaybrewery.com,Excluded,EXCLUDED - Taproom on 9th (15 S 9th St) runs its own in-house kitchen (full lunch/dinner/late-night menu); no evidence of hosting outside food carts. Documented so we don't re-check.,2026-07-06
Boone County Farmers Market,Columbia,MO,Boone,0,hometown,,Sat 8-11a (May-Oct) + Thu 3-5:30p; Columbia Mall parking lot,,"$25/stall Sat, $15/stall Thu ($175 membership)",Producer-only - no prepared-food/resale category,Shelly Blevins 573-817-1367,boonecountyfarmers.com,Excluded,"EXCLUDED for a hot-dog cart - strict PRODUCER-ONLY market (Columbia Mall lot, 2300 Bernadette Dr; distinct from the main Columbia Farmers Market): vendors must grow ALL of what they sell, resale strictly forbidden. No concession category. Documented so we don't re-check.",2026-07-06
